1001,Tola,Bączkiewicz,1985-03-10,Polska,Tarnobrzeg,pl. Myśliwska 25/10,baczkiewicz-tola114@gmail.com,+48 723 197 560
1002,Julianna,Sapa,1979-04-07,Polska,Żyrardów,ulica Okulickiego 545,julianna_sapa@gmail.com,+48 602 659 207
1003,Robert,Rorat,1972-12-24,Polska,Szczecinek,ul. Krokusowa 86,rorat.robert3677@wp.pl,+48 604 738 320
1004,Eliza,Dawidek,1990-07-15,Polska,Pabianice,plac Borowa 03,eliza.dawidek@wp.pl,+48 518 359 898
1005,Kornelia,Jośko,1983-06-07,Polska,Września,aleja Towarowa 81,kornelia_josko@gmail.com,+48 781 314 279
1006,Natan,Heller,1979-03-03,Polska,Wągrowiec,plac Letniskowa 510,heller_natan@wp.pl,+48 737 084 851
1007,Juliusz,Szatko,1969-11-29,Polska,Marki,plac Kraszewskiego 489,juliusz7548szatko-7548@gmail.com,+48 534 356 484
1008,Mikołaj,Niedośpiał,1999-08-08,Polska,Jastrzębie-Zdrój,ulica Solidarnosci 002,niedospia_mikoaj5651@gmail.com,+48 739 575 325
1009,Sebastian,Majak,1967-06-25,Polska,Czechowice-Dziedzice,pl. Morska 18/76,sebastian5424majak@wp.pl,+48 22 209 82 08
1010,Bartek,Bartel,1970-04-05,Polska,Będzin,pl. Głowackiego 98,bartek9266bartel@wp.pl,+48 32 992 28 67
1011,Adrian,Kiepura,1999-05-05,Polska,Lębork,al. Rycerska 93,kiepura-adrian@gmail.com,+48 533 281 592
1012,Maurycy,Szlachcic,1988-05-15,Polska,Iława,aleja Słowianska 612,szlachcic.maurycy1187@interia.pl,+48 884 845 621
1013,Michał,Kapinos,1973-12-27,Polska,Legionowo,ul. Szarych Szeregów 23/48,micha.kapinos@yahoo.com,+48 780 375 523
1014,Albert,Bielat,1997-03-20,Polska,Pszczyna,ulica Szkolna 19/36,bielat_albert8619@gmail.com,+48 530 151 766
1015,Nela,Dylong,1959-01-18,Polska,Kwidzyn,pl. Kalinowa 03,nela3005dylong@interia.pl,+48 693 249 611
1016,Aurelia,Matela,1988-02-17,Polska,Wałbrzych,plac Ptasia 119,aurelia_matela@gmail.com,+48 784 611 079
1017,Piotr,Kucharzyk,1979-09-22,Polska,Ząbki,aleja Słoneczna 43/05,piotr-kucharzyk@gmail.com,+48 32 095 59 74
1018,Leon,Suchora,1972-06-16,Polska,Skawina,pl. Zwycięstwa 04,leon1939suchora@yahoo.com,+48 696 017 116
1019,Apolonia,Krzyżostaniak,1986-10-07,Polska,Bolesławiec,ul. Bolesława Chrobrego 485,krzyzostaniak-apolonia7055@interia.pl,+48 723 708 754
1020,Andrzej,Chojna,1957-08-01,Polska,Reda,aleja Podwale 45/91,andrzej8855chojna@interia.pl,+48 510 990 641
1021,Julianna,Witkowicz,1979-06-07,Polska,Ostrowiec Świętokrzyski,ul. Wschodnia 57,witkowicz.julianna@interia.pl,+48 887 173 342
1022,Ignacy,Szmuc,1986-07-17,Polska,Jasło,al. Pocztowa 33,ignacy-szmuc@gmail.com,+48 509 011 572
1023,Witold,Holeksa,1958-12-11,Polska,Chełm,al. Strumykowa 41,witold.holeksa@outlook.com,+48 697 164 888
1024,Liwia,Pleban,1963-03-18,Polska,Wołomin,ulica Szeroka 95,liwia802pleban@outlook.com,+48 605 782 316
1025,Karol,Midura,1969-05-30,Polska,Kluczbork,aleja Szafirowa 86/36,midura.karol@gmail.com,+48 509 031 228
1026,Cyprian,Trzpil,1966-06-03,Polska,Tarnobrzeg,ulica Tysiąclecia 21,cyprian-trzpil@outlook.com,+48 517 351 865
1027,Antoni,Kostek,1978-06-21,Polska,Szczecinek,aleja Hallera 00/25,antoni3496kostek_3496@interia.pl,+48 508 997 661
1028,Ryszard,Malon,1970-10-03,Polska,Śrem,ul. Skłodowskiej-Curie 381,ryszard9420malon_9420@gmail.com,+48 694 428 723
1029,Tomasz,Beker,1987-11-04,Polska,Pabianice,ulica Liliowa 48,beker_tomasz76@gmail.com,+48 739 429 297
1030,Nikodem,Chowaniak,1977-04-30,Polska,Śrem,plac Wspólna 61/46,chowaniak-nikodem@wp.pl,+48 577 836 182
1031,Filip,Szyma,1973-12-04,Polska,Nowy Dwór Mazowiecki,aleja Chełmońskiego 47,filip7243szyma@gmail.com,+48 606 657 036
1032,Olga,Plich,1972-04-26,Polska,Łódź,ulica Malinowa 06/90,olga3090plich-3090@interia.pl,+48 571 826 704
1033,Olgierd,Kielan,1995-10-09,Polska,Piotrków Trybunalski,ulica Dąbrowskiego 91/81,kielan.olgierd@gmail.com,+48 882 497 023
1034,Patryk,Bzdęga,1965-07-12,Polska,Włocławek,ulica Sportowa 54/23,bzdega.patryk@wp.pl,+48 669 015 523
1035,Ewa,Małyszek,1960-12-26,Polska,Gdynia,ulica Majowa 12,mayszek.ewa@outlook.com,+48 601 674 150
1036,Emil,Hapka,1964-08-03,Polska,Wyszków,aleja Prosta 93,emil_hapka@wp.pl,+48 533 825 801
1037,Maurycy,Glazer,1973-12-14,Polska,Jarocin,plac Kołłątaja 445,maurycy5277glazer@outlook.com,+48 32 539 91 87
1038,Łukasz,Wiza,1989-06-04,Polska,Gdańsk,plac Wiatraczna 54/34,wiza_ukasz626@interia.pl,+48 787 620 397
1039,Adam,Wacławczyk,1968-11-18,Polska,Oława,ul. Jabłoniowa 481,wacawczyk.adam9957@gmail.com,+48 576 004 597
1040,Stanisław,Cebulak,1989-07-09,Polska,Sosnowiec,plac Wspólna 089,cebulak-stanisaw2632@outlook.com,+48 22 207 49 40
1041,Sylwia,Kontny,1960-02-04,Polska,Kędzierzyn-Koźle,aleja Szmaragdowa 85/15,kontny.sylwia341@interia.pl,+48 794 090 218
1042,Piotr,Hubert,1965-06-12,Polska,Szczecinek,ulica Cegielniana 34/88,hubert_piotr729@wp.pl,+48 22 807 82 12
1043,Sara,Zugaj,1995-03-12,Polska,Wałcz,al. Długosza 46/33,sara1902zugaj@gmail.com,+48 600 734 972
1044,Fryderyk,Szymańczak,1981-12-11,Polska,Nowy Targ,ulica Reja 13,szymanczak-fryderyk@wp.pl,+48 603 457 922
1045,Szymon,Fronia,1981-05-22,Polska,Środa Wielkopolska,aleja Wojska Polskiego 66,szymon_fronia@gmail.com,+48 880 049 003
1046,Patryk,Ragan,1978-01-19,Polska,Czerwionka-Leszczyny,aleja Glówna 66/96,ragan.patryk@gmail.com,+48 792 134 817
1047,Karol,Apostel,1970-11-27,Polska,Marki,aleja Orzechowa 87,apostel-karol@gmail.com,+48 695 389 856
1048,Olgierd,Mleczak,1997-05-03,Polska,Olkusz,plac Parkowa 91/18,olgierd2325mleczak@gmail.com,+48 888 660 188
