1000,Błażej,Majczyna,2005-04-18,Polska,Poznań,ulica Miarki 24,majczyna-bazej@gmail.com,+48 22 336 60 71
1001,Tomasz,Frydel,2003-07-28,Polska,Kętrzyn,al. Leśna 20/27,tomasz7585frydel.7585@gmail.com,+48 799 825 674
1002,Krzysztof,Kusztal,2005-09-09,Polska,Oleśnica,plac Księżycowa 56,kusztal_krzysztof6583@interia.pl,+48 889 217 247
1003,Franciszek,Nesterowicz,1999-11-10,Polska,Łowicz,pl. Kowalska 61/08,franciszek-nesterowicz@outlook.com,+48 720 046 709
1004,Ernest,Wandzel,2003-03-21,Polska,Oleśnica,ulica Kwiatowa 11,ernest6646wandzel@interia.pl,+48 504 298 960
1005,Dawid,Myszor,2002-10-26,Polska,Ostrów Mazowiecka,plac Bursztynowa 63/65,dawid-myszor@gmail.com,+48 22 921 12 32
1006,Maciej,Breś,1980-05-11,Polska,Gliwice,aleja Wiśniowa 02,maciej.bres@yahoo.com,+48 510 698 765
1007,Dariusz,Kostorz,2003-11-26,Polska,Ciechanów,ul. Klonowa 309,dariusz6402kostorz-6402@outlook.com,+48 22 206 41 01
1008,Tymoteusz,Wojewódka,2002-08-09,Polska,Nowy Sącz,aleja Klonowa 75/56,wojewodka.tymoteusz@gmail.com,+48 736 216 554
1009,Sandra,Lemanowicz,1994-08-25,Polska,Konin,pl. Wojska Polskiego 89/20,sandra-lemanowicz@outlook.com,+48 601 918 995
1010,Adrian,Sularz,2006-03-23,Polska,Szczecinek,ulica Witosa 398,adrian-sularz@gmail.com,+48 602 778 573
1011,Franciszek,Borzych,1975-01-26,Polska,Wieluń,plac Nowa 72,borzych.franciszek3476@gmail.com,+48 791 585 703
1012,Albert,Drobot,2003-02-06,Polska,Bartoszyce,ul. Tęczowa 597,drobot-albert9671@interia.pl,+48 692 429 898
1013,Agnieszka,Gregorowicz,2006-04-28,Polska,Ostrów Mazowiecka,plac Wróblewskiego 70,agnieszka296gregorowicz-296@interia.pl,+48 504 956 807
1014,Jędrzej,Koman,2006-01-03,Polska,Lublin,al. Dąbrowskiego 36/13,jedrzej-koman@interia.pl,+48 574 785 113
1015,Damian,Buczma,2006-03-21,Polska,Nowy Dwór Mazowiecki,plac Browarna 38/15,buczma-damian4625@outlook.com,+48 724 306 344
1016,Ignacy,Wojczuk,1999-11-26,Polska,Bochnia,pl. Piękna 932,wojczuk.ignacy4973@interia.pl,+48 510 201 536
