100,Tomasz,Gebauer,1968-04-11,Polska,Gorzów Wielkopolski,ul. Armii Krajowej 012,gebauer-tomasz@wp.pl,+48 513 050 962
101,Fryderyk,Wiszowaty,1997-02-07,Polska,Krosno,aleja Cicha 828,fryderyk_wiszowaty@interia.pl,+48 22 749 98 83
102,Fabian,Cal,1998-12-20,Polska,Szczecin,aleja Spokojna 07/81,cal_fabian4011@interia.pl,+48 515 307 074
103,Eliza,Pyszka,1991-05-01,Polska,Leszno,pl. Pomorska 96,pyszka_eliza7786@gmail.com,+48 507 433 694
104,Rafał,Dworczak,1985-11-05,Polska,Bielsk Podlaski,ul. Szpitalna 842,dworczak_rafa8700@gmail.com,+48 694 592 382
105,Kaja,Pietraszkiewicz,1990-05-19,Polska,Bielsko-Biała,plac Liliowa 05,pietraszkiewicz.kaja4723@yahoo.com,+48 693 027 351
106,Olga,Kutek,1986-03-17,Polska,Bartoszyce,ulica Młyńska 13/19,olga7627kutek@gmail.com,+48 539 629 496
107,Wiktor,Sularz,1992-11-06,Polska,Jawor,ul. Krakowska 48,wiktor5282sularz-5282@gmail.com,+48 514 216 062
108,Tomasz,Ogłaza,1965-03-20,Polska,Bielawa,pl. Myśliwska 91/27,tomasz9004ogaza.9004@wp.pl,+48 783 908 911
109,Kornel,Sornat,1998-02-01,Polska,Rybnik,ul. Nowowiejska 955,kornel_sornat@yahoo.com,+48 784 007 275
