1001,Nataniel,Cetera,1969-08-15,Polska,Lubin,al. Wybickiego 51,cetera_nataniel@wp.pl,+48 32 004 38 75
1002,Mikołaj,Lelonek,1988-11-14,Polska,Nowa Sól,ulica Mieszka I 978,lelonek.mikoaj@gmail.com,+48 535 160 041
1003,Kalina,Wilkos,1949-01-22,Polska,Wejherowo,ulica Cegielniana 853,wilkos.kalina4607@outlook.com,+48 32 178 83 48
1004,Błażej,Sobolak,1973-04-02,Polska,Ruda Śląska,aleja Krucza 92/69,bazej2861sobolak@interia.pl,+48 22 050 21 22
1005,Ignacy,Mazanek,1987-11-30,Polska,Łowicz,ul. Źródlana 65/56,mazanek-ignacy@wp.pl,+48 695 084 540
1006,Adrianna,Goss,1990-04-21,Polska,Czechowice-Dziedzice,pl. Zaciszna 09,goss-adrianna5258@gmail.com,+48 734 142 926
1007,Karol,Klekot,1999-10-06,Polska,Skawina,plac Miła 93/77,karol1784klekot.1784@wp.pl,+48 736 716 107
1008,Sandra,Gawłowicz,1951-07-22,Polska,Głogów,ulica Zaciszna 984,gawowicz-sandra@outlook.com,+48 501 349 444
1009,Szymon,Lepak,1969-09-24,Polska,Swarzędz,aleja Słowicza 49,szymon_lepak@gmail.com,+48 791 076 624
1010,Kornel,Tarach,1970-12-06,Polska,Piastów,aleja Miła 009,kornel7834tarach@yahoo.com,+48 798 206 244
1011,Andrzej,Bogumił,1951-03-03,Polska,Cieszyn,ulica Gałczynskiego 67/01,andrzej8977bogumi_8977@gmail.com,+48 728 960 741
1012,Dominik,Suchojad,1994-10-24,Polska,Pabianice,plac Swierkowa 74/21,dominik6024suchojad@interia.pl,+48 518 861 443
1013,Tomasz,Ochal,1961-08-31,Polska,Pruszcz Gdański,plac Kolejowa 445,ochal-tomasz622@interia.pl,+48 506 785 622
1014,Natan,Seidel,1962-06-14,Polska,Goleniów,al. Mokra 46/22,natan525seidel@wp.pl,+48 724 649 892
1015,Anita,Gryszkiewicz,1990-02-13,Polska,Szczecinek,ul. Krasickiego 931,anita2744gryszkiewicz.2744@gmail.com,+48 668 082 437
1016,Ignacy,Tondera,1991-06-04,Polska,Chorzów,aleja Zakole 412,ignacy7468tondera@interia.pl,+48 739 882 423
1017,Andrzej,Giezek,1992-05-12,Polska,Knurów,ul. Radosna 73/49,giezek_andrzej@interia.pl,+48 602 560 160
1018,Monika,Glanc,1996-08-02,Polska,Głogów,al. Poznańska 462,monika3660glanc@wp.pl,+48 532 518 662
1019,Józef,Augustynek,1964-03-20,Polska,Olkusz,al. Harcerska 03,jozef5518augustynek-5518@interia.pl,+48 799 619 278
1020,Iwo,Lesisz,1969-06-25,Polska,Rybnik,aleja Azaliowa 08/31,lesisz.iwo9437@outlook.com,+48 519 716 859
