1000,Inga,Karol,2006-03-24,Polska,Rumia,al. Ogrodowa 280,inga5501karol_5501@interia.pl,+48 888 082 380
1001,Aleksander,Nowrot,1997-06-21,Polska,Zielona Góra,ul. Topolowa 30/11,aleksander886nowrot@gmail.com,+48 785 086 289
1002,Arkadiusz,Trochim,2001-06-02,Polska,Szczecin,ul. Morcinka 44/09,trochim-arkadiusz860@gmail.com,+48 699 451 532
1003,Fabian,Płócienniczak,2000-05-27,Polska,Zamość,ul. Orzeszkowej 810,fabian4114pocienniczak@gmail.com,+48 729 999 659
1004,Iwo,Kudra,2004-01-28,Polska,Koło,pl. Wysoka 781,iwo5321kudra@gmail.com,+48 787 735 485
1005,Marcelina,Ważny,2003-06-02,Polska,Polkowice,aleja Chmielna 93,marcelina_wazny@yahoo.com,+48 539 764 936
1006,Borys,Bork,2002-02-16,Polska,Lubin,ul. Zielona 89/56,borys2687bork@gmail.com,+48 575 698 997
1007,Anastazja,Obiała,1974-05-22,Polska,Augustów,pl. Bukowa 428,anastazja87obiaa@gmail.com,+48 697 075 416
1008,Natan,Famuła,1982-09-28,Polska,Biłgoraj,al. Kochanowskiego 07/13,natan_famua@wp.pl,+48 577 267 780
1009,Jeremi,Paśnik,1987-03-02,Polska,Szczecinek,aleja Willowa 650,pasnik_jeremi@yahoo.com,+48 886 187 465
1010,Krystyna,Jałowiec,2005-05-11,Polska,Ostrów Wielkopolski,aleja Rejtana 48,jaowiec_krystyna@gmail.com,+48 22 200 77 65
1011,Ksawery,Ścieszka,2001-08-29,Polska,Gdynia,ulica Nadrzeczna 06,scieszka_ksawery6439@gmail.com,+48 668 407 934
1012,Tobiasz,Rurarz,2006-12-01,Polska,Ostrów Mazowiecka,ulica Sienkiewicza 48/15,tobiasz.rurarz@interia.pl,+48 799 233 210
1013,Alan,Matyjas,1994-09-16,Polska,Ruda Śląska,ul. Rzemieślnicza 08,alan-matyjas@outlook.com,+48 695 728 261
1014,Mateusz,Pasiut,2004-12-04,Polska,Świecie,pl. Polna 04,mateusz.pasiut@interia.pl,+48 606 582 559
1015,Dorota,Trochim,1966-11-11,Polska,Opole,plac Żeglarska 88,dorota5381trochim@yahoo.com,+48 723 346 857
1016,Artur,Kupaj,2001-04-30,Polska,Mielec,aleja Środkowa 147,artur9969kupaj-9969@wp.pl,+48 32 173 72 53
1017,Dominik,Piwowarek,1999-06-28,Polska,Ełk,pl. Staffa 61,dominik5519piwowarek@outlook.com,+48 791 972 662
1018,Maurycy,Chudoba,1994-06-23,Polska,Koło,ul. Morcinka 071,maurycy4657chudoba_4657@gmail.com,+48 575 373 363
1019,Anita,Kuszyk,1983-07-06,Polska,Środa Wielkopolska,pl. Rejtana 91/41,anita-kuszyk@interia.pl,+48 502 360 190
1020,Jan,Łyś,2001-11-07,Polska,Skawina,aleja Widokowa 91/67,jan3446ys.3446@wp.pl,+48 22 173 87 49
1021,Mikołaj,Graban,1998-12-19,Polska,Mysłowice,aleja Tysiąclecia 08/15,graban.mikoaj7975@outlook.com,+48 784 928 216
1022,Adrian,Panasewicz,2003-02-09,Polska,Oleśnica,plac Hallera 65,panasewicz.adrian519@wp.pl,+48 729 365 370
1023,Oliwier,Jarmużek,1999-03-20,Polska,Zawiercie,aleja Mała 300,oliwier9809jarmuzek@interia.pl,+48 666 135 292
1024,Dagmara,Czupryn,1971-07-25,Polska,Wałbrzych,aleja Sosnowa 31/63,czupryn_dagmara@wp.pl,+48 693 179 727
1025,Hubert,Domżał,2004-04-01,Polska,Leszno,pl. Fiołkowa 74,hubert-domza@gmail.com,+48 797 572 489
1026,Agnieszka,Chomik,1997-07-26,Polska,Zgorzelec,ulica Źródlana 394,agnieszka7904chomik.7904@gmail.com,+48 533 642 645
1027,Szymon,Pompa,2002-08-06,Polska,Koszalin,aleja Akacjowa 83/12,pompa-szymon@gmail.com,+48 727 925 106
1028,Nicole,Dylong,1994-02-19,Polska,Wyszków,al. Myśliwska 35,nicole5170dylong@gmail.com,+48 799 407 165
1029,Oskar,Stroka,2004-04-22,Polska,Chełm,plac Kolonia 06/20,oskar_stroka@wp.pl,+48 574 660 474
1030,Maciej,Makaruk,1999-12-23,Polska,Radom,plac Stefana Batorego 75,makaruk.maciej820@gmail.com,+48 602 996 713
1031,Inga,Starostka,1997-03-10,Polska,Świnoujście,al. Władysława Jagiełły 43,starostka_inga@interia.pl,+48 22 088 68 31
1032,Ksawery,Lisak,2006-08-07,Polska,Wrocław,plac Sportowa 95/49,ksawery3210lisak-3210@yahoo.com,+48 798 883 608
1033,Marcelina,Trzos,2000-04-17,Polska,Piła,ulica Wyspiańskiego 56/28,marcelina.trzos@gmail.com,+48 889 268 084
1034,Adrianna,Beker,1988-05-08,Polska,Gorzów Wielkopolski,pl. Sokola 03,beker.adrianna103@gmail.com,+48 32 317 42 92
1035,Marcelina,Fularczyk,2001-04-16,Polska,Stargard Szczeciński,al. Osiedlowa 168,marcelina5234fularczyk@wp.pl,+48 787 878 064
1036,Cezary,Bok,2003-05-03,Polska,Pruszcz Gdański,aleja Traugutta 96,bok_cezary@gmail.com,+48 665 963 250
1037,Ewelina,Samoraj,1999-05-21,Polska,Grodzisk Mazowiecki,ulica Topolowa 00/94,ewelina1132samoraj@interia.pl,+48 506 553 567
1038,Jerzy,Sztuczka,1999-07-13,Polska,Radom,al. Polna 73,sztuczka-jerzy@interia.pl,+48 732 479 797
1039,Melania,Patrzałek,1959-11-05,Polska,Zawiercie,al. Zbożowa 05/37,patrzaek_melania@gmail.com,+48 22 560 52 36
1040,Adrian,Kubina,2002-07-04,Polska,Radomsko,plac Kasztanowa 42,adrian3233kubina@wp.pl,+48 537 417 844
1041,Adam,Żach,2000-06-18,Polska,Kielce,aleja Strumykowa 40/38,adam7319zach@wp.pl,+48 514 662 259
1042,Aniela,Basista,1980-12-01,Polska,Grodzisk Mazowiecki,aleja Młyńska 620,aniela-basista@wp.pl,+48 887 434 436
1043,Eryk,Spadło,2006-11-05,Polska,Łowicz,ulica Lisia 278,eryk9056spado@wp.pl,+48 737 086 146
1044,Maksymilian,Kochanowicz,2005-05-01,Polska,Goleniów,al. Dębowa 47,maksymilian-kochanowicz@yahoo.com,+48 32 622 10 24
1045,Janina,Odrzywołek,1994-08-26,Polska,Wągrowiec,plac Rolna 011,odrzywoek.janina5279@gmail.com,+48 788 774 717
1046,Rozalia,Kupś,1976-04-12,Polska,Dzierżoniów,ul. Agrestowa 05,kups.rozalia@interia.pl,+48 781 863 754
1047,Paweł,Przewoźniak,2004-11-21,Polska,Bielsk Podlaski,al. Grzybowa 43,pawe2946przewozniak@gmail.com,+48 505 113 698
1048,Urszula,Michnik,2001-12-10,Polska,Przemyśl,plac Dworcowa 15/96,urszula9256michnik-9256@wp.pl,+48 695 504 283
